"","gene_count","read_count","condition"
"I11_B003776_2ng",378,17261,"2ng"
"I12_B003776_2ng",795,36098,"2ng"
"I13_B003776_2ng",4420,289109,"2ng"
"I14_B003776_2ng",5466,502096,"2ng"
"I15_B003776_2ng",4027,107676,"2ng"
"I16_B003776_2ng",5439,541867,"2ng"
"I17_B003776_2ng",4210,119915,"2ng"
"I18_B003776_2ng",1821,59652,"2ng"
"I19_B003776_2ng",2026,168029,"2ng"
"I1_B003776_2ng",2215,926744,"2ng"
"I20_B003776_2ng",5650,447072,"2ng"
"I21_B003776_2ng",6771,662154,"2ng"
"I22_B003776_2ng",28,8777,"2ng"
"I2_B003776_2ng",2007,277516,"2ng"
"I3_B003776_2ng",23,6618,"2ng"
"I4_B003776_2ng",311,16358,"2ng"
"I5_B003776_2ng",57,7023,"2ng"
"I6_B003776_2ng",3168,53821,"2ng"
"I7_B003776_2ng",446,18299,"2ng"
"I8_B003776_2ng",2716,234634,"2ng"
"I9_B003776_2ng",1983,163719,"2ng"
"J10_B003776_2ng",2531,162248,"2ng"
"J11_B003776_2ng",560,28386,"2ng"
"J12_B003776_2ng",2809,163914,"2ng"
"J13_B003776_2ng",6352,595868,"2ng"
"J14_B003776_2ng",1714,184543,"2ng"
"J15_B003776_2ng",3774,368745,"2ng"
"J16_B003776_2ng",3524,218497,"2ng"
"J17_B003776_2ng",5596,662569,"2ng"
"J18_B003776_2ng",3072,105660,"2ng"
"J19_B003776_2ng",5184,532038,"2ng"
"J1_B003776_2ng",4679,718586,"2ng"
"J20_B003776_2ng",129,10081,"2ng"
"J21_B003776_2ng",3883,255701,"2ng"
"J22_B003776_2ng",148,17960,"2ng"
"J2_B003776_2ng",1720,225195,"2ng"
"J3_B003776_2ng",4341,164089,"2ng"
"J4_B003776_2ng",2125,151923,"2ng"
"J5_B003776_2ng",2506,230624,"2ng"
"J6_B003776_2ng",918,25570,"2ng"
"J7_B003776_2ng",3725,392983,"2ng"
"J8_B003776_2ng",3010,255015,"2ng"
"J9_B003776_2ng",391,13743,"2ng"
"K10_B003776_2ng",614,41624,"2ng"
"K11_B003776_2ng",4327,605400,"2ng"
"K12_B003776_2ng",5084,325931,"2ng"
"K13_B003776_2ng",4944,346250,"2ng"
"K14_B003776_2ng",5238,372611,"2ng"
"K15_B003776_2ng",6868,541204,"2ng"
"K16_B003776_2ng",1203,43893,"2ng"
"K17_B003776_2ng",2212,6779,"2ng"
"K18_B003776_2ng",2918,208990,"2ng"
"K19_B003776_2ng",24,8493,"2ng"
"K1_B003776_2ng",2726,767108,"2ng"
"K20_B003776_2ng",6850,683370,"2ng"
"K21_B003776_2ng",5318,481195,"2ng"
"K22_B003776_2ng",6303,530995,"2ng"
"K2_B003776_2ng",2752,295704,"2ng"
"K3_B003776_2ng",757,52239,"2ng"
"K4_B003776_2ng",5297,497932,"2ng"
"K5_B003776_2ng",5261,327474,"2ng"
"K6_B003776_2ng",31,12396,"2ng"
"K7_B003776_2ng",3133,264548,"2ng"
"K8_B003776_2ng",4732,550985,"2ng"
"K9_B003776_2ng",4078,541273,"2ng"
"L10_B003776_2ng",1625,162782,"2ng"
"L11_B003776_2ng",4258,289776,"2ng"
"L12_B003776_2ng",3183,394816,"2ng"
"L13_B003776_2ng",6873,524412,"2ng"
"L14_B003776_2ng",4429,183852,"2ng"
"L15_B003776_2ng",5100,234322,"2ng"
"L16_B003776_2ng",5804,459948,"2ng"
"L17_B003776_2ng",6468,328921,"2ng"
"L18_B003776_2ng",27,10428,"2ng"
"L19_B003776_2ng",573,17457,"2ng"
"L1_B003776_2ng",2949,328628,"2ng"
"L20_B003776_2ng",4058,234967,"2ng"
"L21_B003776_2ng",4687,188146,"2ng"
"L22_B003776_2ng",5860,416686,"2ng"
"L2_B003776_2ng",3937,37849,"2ng"
"L3_B003776_2ng",480,23656,"2ng"
"L4_B003776_2ng",636,28885,"2ng"
"L5_B003776_2ng",5156,264937,"2ng"
"L6_B003776_2ng",3895,269194,"2ng"
"L7_B003776_2ng",409,14166,"2ng"
"L8_B003776_2ng",3542,401279,"2ng"
"L9_B003776_2ng",2237,182086,"2ng"
"M10_B003776_2ng",2845,216846,"2ng"
"M11_B003776_2ng",1765,140926,"2ng"
"M12_B003776_2ng",273,16488,"2ng"
"M13_B003776_2ng",5560,262539,"2ng"
"M14_B003776_2ng",3381,100005,"2ng"
"M15_B003776_2ng",6191,316417,"2ng"
"M16_B003776_2ng",3505,118543,"2ng"
"M17_B003776_2ng",958,57439,"2ng"
"M18_B003776_2ng",467,25643,"2ng"
"M19_B003776_2ng",6232,334004,"2ng"
"M1_B003776_2ng",3429,616644,"2ng"
"M20_B003776_2ng",28,8640,"2ng"
"M21_B003776_2ng",3972,210832,"2ng"
"M22_B003776_2ng",7019,660483,"2ng"
"M2_B003776_2ng",2116,203294,"2ng"
"M3_B003776_2ng",607,22768,"2ng"
"M4_B003776_2ng",3180,429476,"2ng"
"M5_B003776_2ng",5075,506594,"2ng"
"M6_B003776_2ng",3808,260176,"2ng"
"M7_B003776_2ng",1845,192764,"2ng"
"M8_B003776_2ng",948,69437,"2ng"
"M9_B003776_2ng",372,9275,"2ng"
"N10_B003776_2ng",4265,232473,"2ng"
"N11_B003776_2ng",3641,182421,"2ng"
"N12_B003776_2ng",4312,157740,"2ng"
"N13_B003776_2ng",2190,51980,"2ng"
"N14_B003776_2ng",7442,224672,"2ng"
"N15_B003776_2ng",321,21067,"2ng"
"N16_B003776_2ng",7972,547172,"2ng"
"N17_B003776_2ng",5563,373947,"2ng"
"N18_B003776_2ng",6129,369457,"2ng"
"N19_B003776_2ng",5850,207688,"2ng"
"N1_B003776_2ng",22,8925,"2ng"
"N20_B003776_2ng",5184,263454,"2ng"
"N21_B003776_2ng",5674,254835,"2ng"
"N22_B003776_2ng",5138,359093,"2ng"
"N2_B003776_2ng",483,32396,"2ng"
"N3_B003776_2ng",1910,254632,"2ng"
"N4_B003776_2ng",3686,382372,"2ng"
"N5_B003776_2ng",1904,155033,"2ng"
"N6_B003776_2ng",428,18026,"2ng"
"N7_B003776_2ng",334,11860,"2ng"
"N8_B003776_2ng",1910,160510,"2ng"
"N9_B003776_2ng",2471,183782,"2ng"
"O10_B003776_2ng",3544,483983,"2ng"
"O11_B003776_2ng",5588,257555,"2ng"
"O12_B003776_2ng",4609,254642,"2ng"
"O13_B003776_2ng",5645,594688,"2ng"
"O14_B003776_2ng",3485,203721,"2ng"
"O15_B003776_2ng",6774,465679,"2ng"
"O16_B003776_2ng",6468,564168,"2ng"
"O17_B003776_2ng",4137,335203,"2ng"
"O18_B003776_2ng",2733,147362,"2ng"
"O19_B003776_2ng",3686,106553,"2ng"
"O1_B003776_2ng",3462,295911,"2ng"
"O20_B003776_2ng",172,17571,"2ng"
"O21_B003776_2ng",4163,215104,"2ng"
"O22_B003776_2ng",7015,523934,"2ng"
"O2_B003776_2ng",2783,73427,"2ng"
"O3_B003776_2ng",935,156712,"2ng"
"O4_B003776_2ng",5195,953232,"2ng"
"O5_B003776_2ng",4087,460416,"2ng"
"O6_B003776_2ng",5607,302837,"2ng"
"O7_B003776_2ng",3554,331631,"2ng"
"O8_B003776_2ng",494,24070,"2ng"
"O9_B003776_2ng",1529,91562,"2ng"
"P10_B003776_2ng",2893,442244,"2ng"
"P11_B003776_2ng",744,46337,"2ng"
"P12_B003776_2ng",8176,993883,"2ng"
"P13_B003776_2ng",4554,504282,"2ng"
"P14_B003776_2ng",3544,253027,"2ng"
"P15_B003776_2ng",7141,748423,"2ng"
"P16_B003776_2ng",6136,321828,"2ng"
"P17_B003776_2ng",6155,634724,"2ng"
"P18_B003776_2ng",27,46142,"2ng"
"P19_B003776_2ng",2700,175003,"2ng"
"P1_B003776_2ng",2755,385851,"2ng"
"P20_B003776_2ng",5293,51721,"2ng"
"P21_B003776_2ng",4749,56460,"2ng"
"P22_B003776_2ng",4152,45031,"2ng"
"P2_B003776_2ng",3880,364160,"2ng"
"P3_B003776_2ng",2684,234632,"2ng"
"P4_B003776_2ng",647,51780,"2ng"
"P5_B003776_2ng",3190,508042,"2ng"
"P6_B003776_2ng",34,18717,"2ng"
"P7_B003776_2ng",579,41242,"2ng"
"P8_B003776_2ng",539,44864,"2ng"
"P9_B003776_2ng",434,37320,"2ng"
"A10_B003776_NXT",2283,217232,"NXT"
"A11_B003776_NXT",3288,991711,"NXT"
"A12_B003776_NXT",5504,474381,"NXT"
"A13_B003776_NXT",2521,96310,"NXT"
"A14_B003776_NXT",2862,761171,"NXT"
"A15_B003776_NXT",7337,2131069,"NXT"
"A16_B003776_NXT",1661,137019,"NXT"
"A17_B003776_NXT",6477,1035627,"NXT"
"A18_B003776_NXT",4762,1277263,"NXT"
"A19_B003776_NXT",4704,1390088,"NXT"
"A1_B003776_NXT",6215,3419520,"NXT"
"A20_B003776_NXT",4262,44202,"NXT"
"A21_B003776_NXT",19,32097,"NXT"
"A22_B003776_NXT",2963,190697,"NXT"
"A2_B003776_NXT",4196,531783,"NXT"
"A3_B003776_NXT",4138,1093697,"NXT"
"A4_B003776_NXT",304,44695,"NXT"
"A5_B003776_NXT",2618,299012,"NXT"
"A6_B003776_NXT",1468,252610,"NXT"
"A7_B003776_NXT",2502,533468,"NXT"
"A8_B003776_NXT",1619,1374826,"NXT"
"A9_B003776_NXT",2752,1126821,"NXT"
"B10_B003776_NXT",2947,669248,"NXT"
"B11_B003776_NXT",2925,872244,"NXT"
"B12_B003776_NXT",7241,2445056,"NXT"
"B13_B003776_NXT",4601,269416,"NXT"
"B14_B003776_NXT",2221,329404,"NXT"
"B15_B003776_NXT",5329,744041,"NXT"
"B16_B003776_NXT",4544,520866,"NXT"
"B17_B003776_NXT",3090,514771,"NXT"
"B18_B003776_NXT",4044,483814,"NXT"
"B19_B003776_NXT",4596,1245092,"NXT"
"B1_B003776_NXT",2242,1599892,"NXT"
"B20_B003776_NXT",98,40358,"NXT"
"B21_B003776_NXT",2907,493212,"NXT"
"B22_B003776_NXT",3634,628266,"NXT"
"B2_B003776_NXT",2368,661532,"NXT"
"B3_B003776_NXT",4539,1669403,"NXT"
"B4_B003776_NXT",3276,564469,"NXT"
"B5_B003776_NXT",1726,254630,"NXT"
"B6_B003776_NXT",4337,2085871,"NXT"
"B7_B003776_NXT",383,59264,"NXT"
"B8_B003776_NXT",20,20360,"NXT"
"B9_B003776_NXT",160,17533,"NXT"
"C10_B003776_NXT",2265,395318,"NXT"
"C11_B003776_NXT",50,20473,"NXT"
"C12_B003776_NXT",1291,5485,"NXT"
"C13_B003776_NXT",276,66969,"NXT"
"C14_B003776_NXT",5870,1000733,"NXT"
"C15_B003776_NXT",4414,348312,"NXT"
"C16_B003776_NXT",5694,1552307,"NXT"
"C17_B003776_NXT",1488,92274,"NXT"
"C18_B003776_NXT",2570,171256,"NXT"
"C19_B003776_NXT",26,30797,"NXT"
"C1_B003776_NXT",1736,394558,"NXT"
"C20_B003776_NXT",2474,20269,"NXT"
"C21_B003776_NXT",5945,1154020,"NXT"
"C22_B003776_NXT",2470,818015,"NXT"
"C2_B003776_NXT",403,44443,"NXT"
"C3_B003776_NXT",2073,972009,"NXT"
"C4_B003776_NXT",2223,645682,"NXT"
"C5_B003776_NXT",3423,895406,"NXT"
"C6_B003776_NXT",624,264910,"NXT"
"C7_B003776_NXT",3529,1158277,"NXT"
"C8_B003776_NXT",4387,1485824,"NXT"
"C9_B003776_NXT",257,18188,"NXT"
"D10_B003776_NXT",2110,807155,"NXT"
"D11_B003776_NXT",5487,3303075,"NXT"
"D12_B003776_NXT",5108,902735,"NXT"
"D13_B003776_NXT",2572,927118,"NXT"
"D14_B003776_NXT",6435,1589153,"NXT"
"D15_B003776_NXT",6412,2513807,"NXT"
"D16_B003776_NXT",7073,1456488,"NXT"
"D17_B003776_NXT",18,20624,"NXT"
"D18_B003776_NXT",3761,1030085,"NXT"
"D19_B003776_NXT",55,35299,"NXT"
"D1_B003776_NXT",2858,639911,"NXT"
"D20_B003776_NXT",4015,493462,"NXT"
"D21_B003776_NXT",162,250,"NXT"
"D22_B003776_NXT",5403,1152289,"NXT"
"D2_B003776_NXT",1927,951498,"NXT"
"D3_B003776_NXT",5016,3484116,"NXT"
"D4_B003776_NXT",5238,1820743,"NXT"
"D5_B003776_NXT",319,46116,"NXT"
"D6_B003776_NXT",148,5218,"NXT"
"D7_B003776_NXT",19,44956,"NXT"
"D8_B003776_NXT",1861,396722,"NXT"
"D9_B003776_NXT",2436,957504,"NXT"
"E10_B003776_NXT",576,47507,"NXT"
"E11_B003776_NXT",1509,226728,"NXT"
"E12_B003776_NXT",33,50,"NXT"
"E13_B003776_NXT",4385,1146134,"NXT"
"E14_B003776_NXT",3879,593045,"NXT"
"E15_B003776_NXT",6564,473468,"NXT"
"E16_B003776_NXT",1282,3202,"NXT"
"E17_B003776_NXT",7615,2432672,"NXT"
"E18_B003776_NXT",4856,1466247,"NXT"
"E19_B003776_NXT",6197,1072606,"NXT"
"E1_B003776_NXT",4005,1174283,"NXT"
"E20_B003776_NXT",1678,148000,"NXT"
"E21_B003776_NXT",4155,674777,"NXT"
"E22_B003776_NXT",6466,1354812,"NXT"
"E2_B003776_NXT",3033,241068,"NXT"
"E3_B003776_NXT",39,3806,"NXT"
"E4_B003776_NXT",662,69122,"NXT"
"E5_B003776_NXT",417,25250,"NXT"
"E6_B003776_NXT",3309,1178702,"NXT"
"E7_B003776_NXT",350,46982,"NXT"
"E8_B003776_NXT",4826,1524862,"NXT"
"E9_B003776_NXT",446,57871,"NXT"
"F10_B003776_NXT",2344,801560,"NXT"
"F11_B003776_NXT",4964,1023555,"NXT"
"F12_B003776_NXT",5785,1168952,"NXT"
"F13_B003776_NXT",3187,374158,"NXT"
"F14_B003776_NXT",6479,2112860,"NXT"
"F15_B003776_NXT",5,9,"NXT"
"F16_B003776_NXT",6053,1269518,"NXT"
"F17_B003776_NXT",3325,312314,"NXT"
"F18_B003776_NXT",15,7819,"NXT"
"F19_B003776_NXT",1801,151402,"NXT"
"F1_B003776_NXT",925,69001,"NXT"
"F20_B003776_NXT",25,21901,"NXT"
"F21_B003776_NXT",23,26813,"NXT"
"F22_B003776_NXT",206,3028,"NXT"
"F2_B003776_NXT",427,46582,"NXT"
"F3_B003776_NXT",728,126627,"NXT"
"F4_B003776_NXT",16,72932,"NXT"
"F5_B003776_NXT",1538,327861,"NXT"
"F6_B003776_NXT",1047,6638,"NXT"
"F7_B003776_NXT",341,48890,"NXT"
"F8_B003776_NXT",1836,371948,"NXT"
"F9_B003776_NXT",3803,831079,"NXT"
"G10_B003776_NXT",2038,643030,"NXT"
"G11_B003776_NXT",164,23319,"NXT"
"G12_B003776_NXT",6794,1840586,"NXT"
"G13_B003776_NXT",6549,1295303,"NXT"
"G14_B003776_NXT",6878,2201586,"NXT"
"G15_B003776_NXT",3672,243505,"NXT"
"G16_B003776_NXT",6379,1450125,"NXT"
"G17_B003776_NXT",5872,2046676,"NXT"
"G18_B003776_NXT",6393,1324932,"NXT"
"G19_B003776_NXT",6709,2234567,"NXT"
"G1_B003776_NXT",4202,27717,"NXT"
"G20_B003776_NXT",5723,357586,"NXT"
"G21_B003776_NXT",5970,1089428,"NXT"
"G22_B003776_NXT",570,109862,"NXT"
"G2_B003776_NXT",925,355704,"NXT"
"G3_B003776_NXT",2901,873230,"NXT"
"G4_B003776_NXT",5207,4052980,"NXT"
"G5_B003776_NXT",1880,506274,"NXT"
"G6_B003776_NXT",1822,580375,"NXT"
"G7_B003776_NXT",313,48216,"NXT"
"G8_B003776_NXT",2675,1241639,"NXT"
"G9_B003776_NXT",276,15933,"NXT"
"H10_B003776_NXT",2172,667666,"NXT"
"H11_B003776_NXT",4039,1083476,"NXT"
"H12_B003776_NXT",5583,565709,"NXT"
"H13_B003776_NXT",3932,1309560,"NXT"
"H14_B003776_NXT",3526,328224,"NXT"
"H15_B003776_NXT",5591,1540030,"NXT"
"H16_B003776_NXT",2409,168071,"NXT"
"H17_B003776_NXT",6830,1290743,"NXT"
"H18_B003776_NXT",5087,55143,"NXT"
"H19_B003776_NXT",5270,493809,"NXT"
"H1_B003776_NXT",468,135327,"NXT"
"H20_B003776_NXT",4352,793781,"NXT"
"H21_B003776_NXT",24,29972,"NXT"
"H22_B003776_NXT",5698,1510419,"NXT"
"H2_B003776_NXT",518,70831,"NXT"
"H3_B003776_NXT",3570,1355289,"NXT"
"H4_B003776_NXT",2136,793297,"NXT"
"H5_B003776_NXT",2757,1078208,"NXT"
"H6_B003776_NXT",2148,441582,"NXT"
"H7_B003776_NXT",2506,499613,"NXT"
"H8_B003776_NXT",1390,227536,"NXT"
"H9_B003776_NXT",1638,524355,"NXT"
"I10_B003776_NXT",4047,1453628,"NXT"
"I11_B003776_NXT",1030,57651,"NXT"
"I12_B003776_NXT",1405,111564,"NXT"
"I13_B003776_NXT",4587,796090,"NXT"
"I14_B003776_NXT",5432,1252069,"NXT"
"I15_B003776_NXT",3659,129873,"NXT"
"I16_B003776_NXT",5760,1230452,"NXT"
"I17_B003776_NXT",3917,83523,"NXT"
"I18_B003776_NXT",3025,181817,"NXT"
"I19_B003776_NXT",2587,582636,"NXT"
"I1_B003776_NXT",2115,1550545,"NXT"
"I20_B003776_NXT",5707,1971907,"NXT"
"I21_B003776_NXT",6617,1798656,"NXT"
"I22_B003776_NXT",829,42817,"NXT"
"I2_B003776_NXT",2373,1422356,"NXT"
"I3_B003776_NXT",832,72201,"NXT"
"I4_B003776_NXT",794,44690,"NXT"
"I5_B003776_NXT",876,48359,"NXT"
"I6_B003776_NXT",3839,1385855,"NXT"
"I7_B003776_NXT",1377,87097,"NXT"
"I8_B003776_NXT",3183,873271,"NXT"
"I9_B003776_NXT",2366,488024,"NXT"
"J10_B003776_NXT",2366,436962,"NXT"
"J11_B003776_NXT",455,54646,"NXT"
"J12_B003776_NXT",2572,365867,"NXT"
"J13_B003776_NXT",6132,2222192,"NXT"
"J14_B003776_NXT",1568,385302,"NXT"
"J15_B003776_NXT",3472,852164,"NXT"
"J16_B003776_NXT",3278,537536,"NXT"
"J17_B003776_NXT",5337,2228080,"NXT"
"J18_B003776_NXT",693,2208,"NXT"
"J19_B003776_NXT",806,1841,"NXT"
"J1_B003776_NXT",4481,2229861,"NXT"
"J20_B003776_NXT",76,18243,"NXT"
"J21_B003776_NXT",3472,570696,"NXT"
"J22_B003776_NXT",135,51990,"NXT"
"J2_B003776_NXT",1626,596228,"NXT"
"J3_B003776_NXT",4408,1441628,"NXT"
"J4_B003776_NXT",1889,165533,"NXT"
"J5_B003776_NXT",2385,678931,"NXT"
"J6_B003776_NXT",862,105884,"NXT"
"J7_B003776_NXT",3600,1465834,"NXT"
"J8_B003776_NXT",2945,1286616,"NXT"
"J9_B003776_NXT",333,29653,"NXT"
"K10_B003776_NXT",534,65861,"NXT"
"K11_B003776_NXT",3596,244890,"NXT"
"K12_B003776_NXT",4607,637733,"NXT"
"K13_B003776_NXT",4561,869178,"NXT"
"K14_B003776_NXT",5103,1462792,"NXT"
"K15_B003776_NXT",6503,1435191,"NXT"
"K16_B003776_NXT",1080,84161,"NXT"
"K17_B003776_NXT",4371,597250,"NXT"
"K18_B003776_NXT",2760,660574,"NXT"
"K19_B003776_NXT",21,21851,"NXT"
"K1_B003776_NXT",2692,4125530,"NXT"
"K20_B003776_NXT",6249,1183992,"NXT"
"K21_B003776_NXT",759,1612,"NXT"
"K22_B003776_NXT",5956,1347696,"NXT"
"K2_B003776_NXT",2617,923052,"NXT"
"K3_B003776_NXT",668,113034,"NXT"
"K4_B003776_NXT",5034,1417699,"NXT"
"K5_B003776_NXT",4672,487257,"NXT"
"K6_B003776_NXT",24,30479,"NXT"
"K7_B003776_NXT",2979,1171338,"NXT"
"K8_B003776_NXT",4540,2202898,"NXT"
"K9_B003776_NXT",3981,2251988,"NXT"
"L10_B003776_NXT",1418,131601,"NXT"
"L11_B003776_NXT",3940,835213,"NXT"
"L12_B003776_NXT",3119,1906581,"NXT"
"L13_B003776_NXT",6665,1969426,"NXT"
"L14_B003776_NXT",4118,546987,"NXT"
"L15_B003776_NXT",4752,601071,"NXT"
"L16_B003776_NXT",2363,10691,"NXT"
"L17_B003776_NXT",5810,631494,"NXT"
"L18_B003776_NXT",59,23443,"NXT"
"L19_B003776_NXT",262,3175,"NXT"
"L1_B003776_NXT",2788,872250,"NXT"
"L20_B003776_NXT",3654,486350,"NXT"
"L21_B003776_NXT",4402,698537,"NXT"
"L22_B003776_NXT",5344,978774,"NXT"
"L2_B003776_NXT",4524,1005774,"NXT"
"L3_B003776_NXT",352,26603,"NXT"
"L4_B003776_NXT",514,53219,"NXT"
"L5_B003776_NXT",4994,1314903,"NXT"
"L6_B003776_NXT",3777,1226664,"NXT"
"L7_B003776_NXT",418,64272,"NXT"
"L8_B003776_NXT",3342,1154071,"NXT"
"L9_B003776_NXT",1998,227612,"NXT"
"M10_B003776_NXT",2609,282503,"NXT"
"M11_B003776_NXT",1599,313176,"NXT"
"M12_B003776_NXT",258,46184,"NXT"
"M13_B003776_NXT",5355,1050287,"NXT"
"M14_B003776_NXT",3173,340189,"NXT"
"M15_B003776_NXT",5979,1094463,"NXT"
"M16_B003776_NXT",3140,287404,"NXT"
"M17_B003776_NXT",865,96952,"NXT"
"M18_B003776_NXT",405,47163,"NXT"
"M19_B003776_NXT",6073,1602096,"NXT"
"M1_B003776_NXT",3455,2274989,"NXT"
"M20_B003776_NXT",5,20,"NXT"
"M21_B003776_NXT",2018,13304,"NXT"
"M22_B003776_NXT",6608,1822192,"NXT"
"M2_B003776_NXT",1975,586467,"NXT"
"M3_B003776_NXT",565,79939,"NXT"
"M4_B003776_NXT",3021,1369012,"NXT"
"M5_B003776_NXT",4907,1816348,"NXT"
"M6_B003776_NXT",3452,670537,"NXT"
"M7_B003776_NXT",1786,868732,"NXT"
"M8_B003776_NXT",858,204827,"NXT"
"M9_B003776_NXT",346,44077,"NXT"
"N10_B003776_NXT",4202,994276,"NXT"
"N11_B003776_NXT",3465,643893,"NXT"
"N12_B003776_NXT",4444,1800884,"NXT"
"N13_B003776_NXT",1853,131357,"NXT"
"N14_B003776_NXT",7838,2819506,"NXT"
"N15_B003776_NXT",298,66908,"NXT"
"N16_B003776_NXT",7764,2433604,"NXT"
"N17_B003776_NXT",5529,2172180,"NXT"
"N18_B003776_NXT",5651,998546,"NXT"
"N19_B003776_NXT",5953,1803866,"NXT"
"N1_B003776_NXT",23,78168,"NXT"
"N20_B003776_NXT",5099,1297424,"NXT"
"N21_B003776_NXT",5197,633322,"NXT"
"N22_B003776_NXT",4625,793358,"NXT"
"N2_B003776_NXT",471,129468,"NXT"
"N3_B003776_NXT",1830,665167,"NXT"
"N4_B003776_NXT",3393,1096923,"NXT"
"N5_B003776_NXT",1807,549831,"NXT"
"N6_B003776_NXT",396,59632,"NXT"
"N7_B003776_NXT",315,54295,"NXT"
"N8_B003776_NXT",1916,1022641,"NXT"
"N9_B003776_NXT",2335,452239,"NXT"
"O10_B003776_NXT",3362,1467853,"NXT"
"O11_B003776_NXT",5384,1083806,"NXT"
"O12_B003776_NXT",4489,1144719,"NXT"
"O13_B003776_NXT",5496,1995283,"NXT"
"O14_B003776_NXT",2681,116942,"NXT"
"O15_B003776_NXT",6503,1417306,"NXT"
"O16_B003776_NXT",6178,1142748,"NXT"
"O17_B003776_NXT",3888,767230,"NXT"
"O18_B003776_NXT",2685,506299,"NXT"
"O19_B003776_NXT",3341,266987,"NXT"
"O1_B003776_NXT",3142,525948,"NXT"
"O20_B003776_NXT",163,49283,"NXT"
"O21_B003776_NXT",3984,578944,"NXT"
"O22_B003776_NXT",6724,2160688,"NXT"
"O2_B003776_NXT",3896,1651340,"NXT"
"O3_B003776_NXT",875,373125,"NXT"
"O4_B003776_NXT",5044,4264412,"NXT"
"O5_B003776_NXT",3860,1143574,"NXT"
"O6_B003776_NXT",5347,1073810,"NXT"
"O7_B003776_NXT",2623,57639,"NXT"
"O8_B003776_NXT",452,95551,"NXT"
"O9_B003776_NXT",1446,321382,"NXT"
"P10_B003776_NXT",2743,1068343,"NXT"
"P11_B003776_NXT",559,35746,"NXT"
"P12_B003776_NXT",7778,2614870,"NXT"
"P13_B003776_NXT",4447,1962826,"NXT"
"P14_B003776_NXT",3402,865728,"NXT"
"P15_B003776_NXT",6808,2210290,"NXT"
"P16_B003776_NXT",6117,2322658,"NXT"
"P17_B003776_NXT",5831,1807618,"NXT"
"P18_B003776_NXT",16,77047,"NXT"
"P19_B003776_NXT",2473,511880,"NXT"
"P1_B003776_NXT",2465,690588,"NXT"
"P20_B003776_NXT",7079,2812899,"NXT"
"P21_B003776_NXT",6107,2914020,"NXT"
"P22_B003776_NXT",5555,2407031,"NXT"
"P2_B003776_NXT",3632,1546224,"NXT"
"P3_B003776_NXT",2520,987556,"NXT"
"P4_B003776_NXT",505,71419,"NXT"
"P5_B003776_NXT",2972,1275870,"NXT"
"P6_B003776_NXT",18,28461,"NXT"
"P7_B003776_NXT",501,98706,"NXT"
"P8_B003776_NXT",443,85926,"NXT"
"P9_B003776_NXT",453,105410,"NXT"
